title,author,isbn,year,editorial
Roma Eterna,Robert Silverberg,9788445076101,2006,Minotauro
Asedro (Unicorp Nº 2),Eduardo Gallego,9788495820938,2006,Silente
Terminal,Brian Keene,9788498002928,2006,La Factoria De Ideas
Pacificadores (Unicorp 3),Eduardo Gallego,9788495820945,2006,Silente
Amenaza Eterna (La Nueva Generacion),Santyago Moro,9788495820969,2006,Silente
El Ultimo Guardian De Everness: La Guerra De Los Sueños I,John C. Wright,9788493504700,2006,Berenice
Tormenta,Jim Butcher,9788498002560,2006,La Factoria De Ideas
Dear John,Nicholas Sparks,9780751539264,2007,Warner Books
Aspectos Sicologicos Del Calzoncillo Y Otros Articulos De Humor,Daniel Samper Pizano,9789583600708,2006,Panamericana Editorial El Ancora
The Children Of Men. Film Tie-In,P.d. James,9780571233779,2006,Faber And Faber
The Ladies Of Grace Adieu,Susanna Clarke,9781596912519,2006,Bloomsbury Publishing Ltd.
Sacred Games,Vikram Chandra,9780571231195,2006,Faber And Faber
Titan,Ben Bova,9780340823972,2006,Hodder & Stoughton
Der Geheime Orden,Ian Smith,9783404155880,2006,Lubbe Gustav
Das Lied Des Regenpfeifers,Tamara Mckinley,9783404155941,2006,Lubbe Gustav
The Darwin Awards 4: Intelligent Design,Wendy Northcutt,9780525959601,2006,E.P. Div.Of Penguin Dutton
La Densidad Del Desierto,Rafael Manrique,9788493419233,2006,Zanzibar
Iberia: La Puerta Iluminada,Manuel de Lope,9788483066843,2006,Debate
Kalixti La Llave Del Amanecer,Pedro Terron,9788497633161,2014,Nowtilus
Las Armas De Avalon,Roger Zelazny,9788498002751,2006,La Factoria De Ideas
El Cruce En La Noche,Eduardo Gallego,9788495820617,2006,Silente
Juego De Tronos (Vol. I): Cancion De Hielo Y Fuego (Ed. De Lujo),George R.r. Martin,9788496208377,2006,Gigamesh
Estuche El Elfo Oscuro: La Morada; El Exilio; El Refugio,R.a. Salvatore,9788448037758,2006,Timun Mas
Guardianes De La Noche,Sergei Lukyanenko,9788401336089,2006,Plaza & Janes Editores
Berenice Y Otras Mujeres,Edgar Allan Poe,9789583004841,2006,Panamericana Editorial (Colombia)
Torre De La Golondrina  Geralt Rivia Vol Vi,Andrzej Sapkowski,9788496173583,2006,Bibliopolis
Belly Of The Atlantic,Fatou Diome,9781852429034,2006,Serpent S Tail
Viajeros Extraordinarios,Julio Verne,8329788496129,2006,Circulo Latino
Ranura Del Horizonte,Daniel Iglesias Kennedy,9788493521912,2006,Aduana Vieja
Choque De Reyes: Cancion De Hielo Y Fuego 2 (Ed. De Lujo),George R.r. Martin,9788496208384,2006,Gigamesh
Yesterday,Chris Roberson,9788498002492,2006,La Factoria De Ideas
El Valle De Espinos (Tierras De Elyon 2),Patrick Carman,9788420470610,2006,Alfaguara
Fuego Sobre San Juan,Pedro A. Garcia Bilbao,9788495820679,2013,Silente
Operacion Proteo,James P. Hogan,9788496575240,2006,Terciopelo
Psiquiatras Psicologos Y Otros Enfermos,Rodrigo Muñoz Avia,9788466368599,2006,Debolsillo (Punto De Lectura)
Humor Medico: Las Mejores Anecdotas Y Chistes Sobre Medicos Y Pac Ientes,Arsenio Asenjo,9788479277994,2006,Robinbook
La Silla,David Jasso,9788496554078,2006,Equipo Sirius
Hijos Del Dragon (Ii),Lucia Gonzalez Lavado,9788498024296,2006,Entrelineas Editores
La Ruta De La Seda: 2ª Etapa,Bernard Ollivier,9788496517226,2006,Entre Libros
Conan De Cimmeria (1935-1936),Robert E. Howard,9788448035389,2006,Timun Mas
The Bancroft Strategy,Robert Ludlum,9780312316730,2006,St. Martin S Press
Der Patient,John Katzenbach,9783426629840,2006,Knaur
Die Stumme Bruderschaft,Julia Navarro,9783442366552,2006,Goldman
A Peu Per L Alt Maestrat,Josep M. Espinas,9788886491440,1998,-
Seran Ceniza Mas Tendra Sentido: Necrologicas,Antonio Mingote,9788493381141,2006,Luca De Tena Ediciones
El Doctor Nikola,Guy Boothby,9788493506544,2006,Ans Editor
Would I Lie To You?,Sheila Norton,9780758209511,2006,Kensington Publishing Corps.
The Collectors,David Baldacci,9780446698627,2006,Warner Books
Esquisses Parisiennes,Henry James,9782729116491,2006,Editions De La Difference
Si Sabino Viviria,Iban Zaldua,9788466368315,2006,Debolsillo (Punto De Lectura)
La Torre De Las Galaxias,Carlos Saiz Cidoncha,9788495820532,2006,Silente
Voracidad,Juan Bas,9788466629324,2006,S.A. Ediciones B
La Chica De Al Lado,Jack Ketchum,9788498002430,2006,La Factoria De Ideas
El Exodo De Los Vencidos (Dragonlance: Trilogia De Linsha 2),Mary H. Herbert,9788448035365,2006,Timun Mas
De Las Excentricidades Del Cardenal Pirelli,Ronald Firbank,9788488586735,2006,Almuzara
Viatge Literari Pel Pallars Sobira: Les Veus Del Pamamo I Altres Obres,Ferran Rella,9788484378891,2006,Edicions Proa S.A
Mensajero De La Muerte (Ciclo Drenai 5),David Gemmell,9788496208131,2006,Gigamesh
Viaje A Las Alcarrias,Raul Torres,9788495685186,2006,Llanura
El Fontanero Del Congreso,Willy Bowling,9788466628167,2006,S.A. Ediciones B
Ambar Y Hierro (Discipula Oscura 2),Margaret Weis,9788448035372,2006,Timun Mas
Cuentos Cortos Surrealistas Para Niños De Siete A Setenta Años,Antonio Ozores Puchol,9788461133512,2006,Autor-Editor
Stone Of Farewell (Series: Memory Sorrow & Thorn S. Bk. 2),Tad Williams,9781857237863,1998,Orbit
Tooth And Claw,T. C. Boyle,9780747581451,2006,Bloomsbury Publishing Ltd.
La Ciutat Del Lliri Roig,Josep Valls,9788495946669,2006,Brau Edicions
Por El Oeste De Irlanda,Leon Lasa,9788488586353,2006,Almuzara
Guardian (Magic: Ciclo Kamigawa. Libro Iii),Scott Mcgough,9788448035440,2006,Timun Mas
Bajo Un Cielo Azul Cobalto: En Las Estepas De Mongolia (Premio On Daatje 2004),Louisa Waugh,9788466620598,2006,S.A. Ediciones B
El Sistema Del Mundo (Volumen Tres Del Ciclo Barroco): Libro 3. E L Sistema Del Mundo,Neal Stephenson,9788466626835,2006,S.A. Ediciones B
Tormenta De Espadas (Ed. Lujo Cancion De Hielo Y Fuego 3),George R.r. Martin,9788496208391,2006,Gigamesh
El Azogue,China Mieville,9789871180318,2006,Interzona Editora S.A.
Mar De Arena(2ª Edicion),Iñaki Bidegain Alberdi,9788495879547,2006,Egido
Humor Rectal,Xavier Carrasco,9788493486617,2006,Entretres
Cielo Muerto Sol Negro (Warhammer Ultramarines 3),Graham Mcneill,9788448043872,2006,Timun Mas
Hijos De Redencion (La Nueva Generacion Nº 13),Santyago Moro,9788495820907,2006,Silente
Magnichistes: Los Chistes De Los Personajes Famosos De Este Mundo Y Del Otro,Rocaviva,9788479278304,2006,Robinbook
Sueños Nuevos Por Viejos,Mike Resnick,9788420683119,2006,Alianza Editorial
Viajes Por España,Emilia Pardo Bazan,9788493507404,2006,Bercimuel
Muero Por Dentro,Robert Silverberg,9788489746763,2006,Puzzle Editorial
Jitanjafora,Sergio Parra,9788496013285,2006,Ajec
Das Letzte Geheimnis,Ian Caldwell,9783404155798,2006,Lubbe Gustav
Leichensache,Norbert Horst,9783442452309,2006,Goldman
Axiomatico,Greg Egan,9788496013261,2006,Ajec
El Imperio Mistico,Tracy Hickman,9788448034405,2007,Timun Mas
Canço De Foc I Glaç 1: La Ma Del Rei,George R.r. Martin,9788496422612,2006,Devir Contenidos S.L.
En Busca De Djehuty: Cronica De Una Excavacion Arqueologica En Lu Xor,Jose Manuel Galan,9788482987149,2006,National Geographic
La Sonrisa De La Justicia,Juan Camuñez Ruiz,9788496632073,2006,Arcopress
Estacion De Penurias (Un Libro De La Compañia Negra) (Primer Libr O De Piedra Reluciente),Glen Cook,9788498002577,2006,La Factoria De Ideas
Dracula,Bram Stoker,9788483461846,2006,Debolsillo
La Mision De Sennar. Cronicas Del Mundo Emergido Ii,Licia Troisi,9788486924140,2006,Creado En Traspaso Del Hp
Humor Legal,Armando Bulla,9788479278663,2006,Robinbook
Ismael: Una Aventura De La Mente Y El Espiritu,Daniel Quinn,9788493469979,2006,Artime Ediciones
Ciclo De Dunwich,H.p. Lovecraft,9788489746923,2006,Puzzle Editorial
Cantos De Victoria,Robert Jordan,9788448034832,2006,Timun Mas
Wintersmith,Terry Pratchett,9780385609845,2006,Doubleday Transworld Usa
The Black Book,Orhan Pamuk,9781400078653,2006,Waterbrook Press
La Ruta De Los Castillos,Rafael de Cozar,9788493424770,2006,Grupo Pandora
Horus Señor De La Guerra (La Herejia De Horus I),Dan Abnett,9788448043926,2006,Timun Mas
El Libro De Los Fracasos Heroicos,Stephen Pile,9788484283171,2006,Alba Editorial
Los Dones,Ursula K. Le Guin,9788445076170,2006,Minotauro
Hijos De Anansi,Neil Gaiman,9788496544666,2008,Roca Editorial De Libros
El Extrtanjero,C.j. Cherryh,9788498002553,2006,La Factoria De Ideas
Papa Puerco (Una Novela De Mundodisco),Terry Pratchett,9788401336119,2007,Plaza & Janes Editores
El Rio De Los Dioses (Solaris Ficcion Nº 77),Ian Mcdonald,9788498002508,2006,La Factoria De Ideas
Imajica: El Quinto Dominio,Clive Barker,9788498002454,2006,La Factoria De Ideas
Una Mujer Del Pueblo De Hierro,Eleanor Arnason,9788466621434,2005,S.A. Ediciones B
666,Hugo Wast,9788493459529,2005,Homo Legens
Como No Tengo Nada Que Decir ¡Lo Dire Solo Una Vez¡ (Gags Para E L Escenario Nº 4): Chistes Breves Buenos Buenos,Aldo Colombini,9788489749504,2005,Paginas Libros De Magia
Estuche La Guerra De Los Espiritus (Los Caballeros De Neraka / El Rio De Los Muertos / El Nombre Del Unico),Margaret Weis,9788448035303,2006,Timun Mas
Cuchillo Del Lobo,William King,9788448034634,2005,Timun Mas
La Nave,Tomas Salvador,9788493446628,2005,Berenice
Cazadores De Cabezas Del Amazonas,Fritz W. Up de Graff,9788467021011,2006,S.L.U. Espasa Libros
Las Naves De La Magia,Robin Hobb,9788498002133,2006,La Factoria De Ideas
Bautismo De Fuego  Geralt De Rivia Vol V,Andrzej Sapkowski,9788496173156,2005,Bibliopolis
Star Wars: Aprendiz De Jedi (Ed. Especial 2): Los Discipulos,Jude Watson,9788495070203,2005,Alberto Santos Editor
Aniquilacion,Philip Athans,9788448037697,2006,Timun Mas
Dune: La Cruzada De Las Maquinas,Brian Herbert,9788401335914,2006,Plaza & Janes Editores
Gran Enciclopedia Del Humor: Los 999 Mejores Chistes De La Histor Ia,Pablo Nacach,9788466316736,2005,Debolsillo (Punto De Lectura)
De Orbe Novo,Pedro Martir de Angleria,9789509402300,2004,Alcion Editora
Viaje Por Mar Con Don Quijote,Thomas Mann,9788493404765,2005,S.A. R Que R Editorial
El Guerrero Mistico,Tracy Hickman,9788448034382,2005,Timun Mas
Lineas Muertas,Greg Bear,9788498002126,2005,La Factoria De Ideas
Corazon De Ulises,Javier Reverte,9788401379581,2006,Plaza & Janes Editores
A Feast For Crows,George R.r. Martin,9780002247436,2005,Harpercollins Pub.
Walk In A Relaxed Manner: Life Lessons For The Camino,Joyce Rupp,9781570756160,2005,Orbis Books
Yo Quiero Vivir Para Siempre Y Por Ahora La Cosa Va Bien (Vol. 2) : Gags Para El Escenario 2 De Aldo Colombini (Chistes Breves Buenos Buenos),Aldo Colombini,9788489749481,2005,Paginas Libros De Magia
Traicion,Orson Scott Card,9788435020800,2006,Edhasa
La Saga De Cthulhu,H.p. Lovecraft,9788496525986,2006,S.L. Puzzle Editorial De Libros
La Tierra Sin Rey,Ed Grenwood,9788498000740,2005,La Factoria De Ideas
Testigos De Las Estrellas,Robert C. Wilson,9788498001969,2005,La Factoria De Ideas
Mascarada: Una Novela Del Mundo Del Mundodisco,Terry Pratchett,9788401335747,2005,Plaza & Janes Editores
La Sangre Y El Ambar,David Torres,9788466627368,2006,S.A. Ediciones B
Los Muertos Si Hablan,Byron Khun de Prorok,9788449426889,2006,Oceano
El Universo De La Ciencia Ficcion,Sergio Gaut Vel Hartman,9788496129764,2006,Circulo Latino
La Brujula Del Peregrino,Pedro Terron,9788497633178,2006,Nowtilus
El Mundo De Roche,Robert L. Forward,9788489746879,2006,Puzzle Editorial
Las Cosas Como Son,Jose Vicente Rojo,9788495820914,2006,Silente
Tiempo Para Amar,Robert A. Heintein,9788498002379,2006,La Factoria De Ideas
The Two Towers (Ed. 50 Aniversario),J.r.r. Tolkien,9780007203598,2005,Harpercollins Pub.
Literatura Fantastica De Terror: Oriente Antiguo: Japon China V Ietnam,Ueda Akinari,9789871139231,2005,Quadrata
Sistema Del Mundo Ii: Moneda,Neal Stephenson,9788466626811,2006,S.A. Ediciones B
Rosa Cuantica,Catherine Asaro,9788489746565,2006,Puzzle Editorial
Placeres Prohibidos. Anita Blake: Cazavampiros 1,Laurell K. Hamilton,9788496208094,2006,Gigamesh
Viajes De Novela,Angel Garcia Prieto,9788484594536,2006,Nobel
El Guardian Del Laberinto,Angela Edo,9788495590954,2006,Mtm. Metafisica Del Tercer Milenio
Viajeros Extraordinarios,Julio Verne,9788496129832,2006,Circulo Latino
Herencia,Steven Savile,9788448035549,2006,Timun Mas
Los Mejores Chistes 2,Julio Cesar Parissi,9789500298414,2006,El Ateneo (Argentina)
Contra La Gravedad,Gary Gibson,9788498002775,2006,La Factoria De Ideas
Gardens Of The Moon,Steven Erikson,9780553812176,2000,Bantam Books
Evil Star (Series: Power Of Five S. Nº 2),Anthony Horowitz,9781844286201,2006,Walker Books Ltd.
The Art Of War,Sun Tzu,9780340937846,2006,Hodder & Stoughton
The Black Sun,James Twining,9780007190171,2006,Harpercollins Pub.
Die Umarmung Des Todes,Natsuo Kirino,9783442462377,2006,Goldman
Mi Viaje Alrededor Del Mundo (1594-1606),Francesco Carletti,9788474861693,2005,Noray
Quebranto Y Ventura Del Caballero Gaiferos,Manuel Ferrand,9788496556973,2007,Fund. Jose Manuel Lara
Historias De Nueva York,Enric Gonzalez,9788478716906,2006,Rba Libros
El Alma Del Vampiro,Poppy Z. Brite,9788489746312,2006,Puzzle Editorial
Jordan (Caballo De Troya 8),J.j. Benitez,9788408068501,2006,Planeta
Alma Del Demonio,Richard A. Knaak,9788489746770,2006,Puzzle Editorial
En Presencia De Mis Enemigos,Harry Turtledove,9788498002799,2006,La Factoria De Ideas
Asalto,C.s. Goto,9788448043940,2007,Timun Mas
The Worst Journey In The World,Apsley Cherry-Garrard,9781844131037,2003,Secker And Warburg
Mano De Plata (La Cancion De Albion; T.2),Stephen R. Lawhead,9788448030025,1993,Timun Mas
Voyage Sable Keech,Neal Asher,9780330411608,2006,Pan Books Ltd
Home Truths,Freya North,9780007243648,2006,Harpercollins Pub.
El Discreto Encanto Del Liguero Y Otros Motivos Para Sonreir,Daniel Samper Pizano,9789583601033,2006,Panamericana Editorial El Ancora
La Olla De Oro,James Stephens,9788478441587,1993,Siruela
Manual Para Viajeros Por España Observaciones Generales,Richard Ford,9788475060446,1982,Turner
Manual Para Viajeros Por El Pais Vasco Y Navarra,Richard Ford,9788475060330,1981,Turner
Los Viajes De Tuf,George R.r. Martin,9788440600127,1988,S.A. Ediciones B
Jornada De Omagua Y Dorado,Francisco Vazquez,9788475970424,1987,Grech
Libro De Viajes,Ramon Carande,9788477969136,1993,Dip. Prov. De Badajoz
Mesias De Dune El,Frank Herbert,9788473863544,1989,Ultramar Editores Sa
Imagenes De Tunez,Alfonso de la Serna,9788472325531,1990,Ediciones Cultura Hispanica
Kanada,J. Martinez,9788474890624,0,Ediciones Castell Sa
La Rebelion De Los Pupilos,David Brin,9788470024047,1988,Acervo
Visiones De La Noche,Ambrose Bierce,9788477020035,1987,Valdemar
Estatuilla Magica La,Robert Westall,9788477227823,1992,Timun Mas
Libro De Viajes De Benjamin De Tudela (2ª Ed.),Benjamin Tudela,9788472130944,1982,Riopiedras Ediciones
El Reino De Las Sombras Nd/Dsc,Robert E. Howard,9788477200123,1987,Obelisco
Descubrimientos Españoles En El Mar Del Sur,Amancio Landin Carrasco,9788473410830,1992,Editorial Naval
Hijo De La Mente,John Saul,9788474171433,1900,Editor S.A. Javier Vergara
Una Isla En Clave De Sol,Antonio Marin Albalate,9788412446593,2021,Vitruvio
Chistes De Andaluces,Javier Tapia Rodriguez,9788476722749,1990,Edicomunicacion
Nave De Un Millon De Años La,Poul Anderson,9788440619723,1991,S.A. Ediciones B
Solo Un Enemigo,Michael Bishop,9788470023644,1983,Acervo
Uganda,Manuel Leguineche,9788472325746,1990,Cultura Hispanica
Camioneros,Terry Pratchett,9788477226628,1992,Timun Mas
Contra Ellos,Laura Freixas,9788435024037,1996,Edhasa
Cita Sangrienta,R.l. Stine,9788440663276,0,Ediciones B
Como Si Fuera Dios,Robin Cook,9788401321030,1992,Plaza &Amp; Janes
Viaje Del Beagle,Charles Darwin,9788420511436,1985,Pearson Educacion
Naufragios,Alvar Nuñez Cabeza de Vaca,9788420601434,1998,Alianza Editorial
Le Grand Chemin De Compostelle,Jean-Claude Bourles,9782228889186,0,Payot
Back To Mandalay Burmese Life Past And Present,Norman Lewis,9780789202543,0,Abbeville Pub.
Me Gana La Risa Volumen 2,Tato Garibay,9789706665058,2008,Tomo (Mexico)
El Despertar De Nube Azul,Pluma Blanca,9788461184859,2007,Autor-Editor
Antropologia Y Su Suegra,Domingo Barbolla Camarero,9788496560352,2007,@Becedario
El Hombre Primitivo Y El Oceano,Thor Heyerdahl,9788426118226,1981,Juventud
Premios Hugo 2 Los.1962-1967,Isaac Asimov,9788427011229,1987,Martinez Roca
Diario Del Descubrimiento De Las Fuentes Del Nilo,John Hanning Speke,9788467011111,2003,S.L.U. Espasa Libros
Princesa Prometida La,William Goldman,9788427013933,1990,Martinez Roca
L Enfantville,Manuel Espino Jimenez,9788494000362,2014,Araña Editorial
Un Sombrero De Cielo: Una Historia Del Mundodisco,Terry Pratchett,9788401339790,2011,Plaza & Janes Editores
Melmoth El Errabundo,Charles Robert Maturin,9788477021704,2005,Valdemar
Amuleto De Abraxas El,Guillermo Mozos Alventosa,9788415883319,2013,Eride
El Pozo De Las Sombras,Juliet Marillier,9788496748514,2008,Maeva
El Mundo Sumergido,J.g. Ballard,9788445077139,1901,Minotauro
Por El Emperador (Ciaphas Cain: Heores Del Imperio),Sandy Mitchell,9788448044121,2008,Timun Mas
El Ojo De La Garza,Ursula K. Le Guin,9788435022125,1988,Edhasa
Fuerza De Su Mirada La,Tim Powers,9788427016101,1992,Martinez Roca
Don Nadie,Pedro Ruiz,9788478802203,1992,Temas De Hoy
El Verano Del Pequeo San John,John Crowley,9788445070208,0,Minotauro
Manual Para Viajeros Por Las Dos Castillas(Tomo 2),R. Ford,9788425313103,0,Grijalbo
En Gascogne,Jean-Roger Bourrec,9782708981003,0,Privat
Galactia,Alfonso Alfaro Garcia,9788461106981,2007,Autor-Editor
El Cadaver Alegre: Anita Blake Cazavampiros. 2,Laurell K. Hamilton,9788496208117,2007,Gigamesh
Sobrevivir A Una Mutacion,Luis Silva,9788461188628,2007,Autor-Editor
Tierra Ignota (Premio Nobel 1973),Patrick White,9788493674113,2008,Icaro Ediciones
Memorias De Bond,Felipe Lucena Marotta,9788461244065,2008,Autor-Editor
Pendragon (Ciclo Pendragon Iv),Stephen R. Lawhead,9788448036300,1992,Timun Mas
El Rey Rata,China Mieville,9788498004243,2008,La Factoria De Ideas
Historias Para Dormir Mal,Alfonso Gijon Morales,9788496790599,2009,Jirones De Azul
Las Piedras De Florencia,Mary Mccarthy,9788434453814,2008,Ariel
El Leopardo De Las Nieves,Peter Matthiessen,9788498412468,2008,Siruela
Como Dejar A La Pareja En 30 Dias,Javier Tapia Rodriguez,9788493634742,2008,Grup Sociologies
Fulgrim (Warhammer 40000: La Herejia De Horus),Graham Mcneill,9788448044145,2008,Timun Mas
El Orbe De Los Dragones (Dragonlance: Cronicas Perdidas Ii),Margaret Weis,9788448036492,2008,Timun Mas
Confessor,Terry Goodkind,9780007250837,2008,Harpercollins Pub.
Garras Y Colmillos (Puzzle),Jo Walton,9788496689091,2007,Puzzle Editorial
¡Voto A Brios! (Una Novela Mundodisco),Terry Pratchett,9788401336348,2007,Plaza & Janes Editores
Hombres Con Los Que No Me Case,Janice Kaplan,9788466630245,2007,S.A. Ediciones B
Atlas De La Tierra Media,Karen Wynn Fonstad,9788448049003,2003,Timun Mas
The Book Of Lost Things,John Connolly,9780340899496,2007,Hodder & Stoughton
Remenbrance,Danielle Steel,9780440173700,1985,Corgi Transworld
Les Fetes Galantes,Michel Peyramaure,9782266157216,2007,Presses Pocket
Inferno (Star Wars - Legacy Of The Force),Troy Denning,9780345477552,2007,Ballantine Books (Random)
Twilight Watch,Sergei Lukyanenko,9781401360214,2007,Miramax
Los Doce Suspiros De Juno,Christine Merlier,9788496621572,2007,Atlantis
O Canto Do Muecin,Lois Dieguez,9788483411445,2007,A Nosa Terra
Las Cronicas De Bridei 2 : La Espada De Fortriu,Juliet Marillier,9788496748118,2007,Maeva
Hazañas Del Capitan Carpeto,Rafael Reig,9788466368957,2007,Debolsillo (Punto De Lectura)
El Dibujante De Peces,Juan Carlos Arbex,9788474861624,2007,Noray
La Estrella De La Desolacion,Sunao Yoshida,9788448041045,2007,Timun Mas
Erase Una Vez La Urss: La Fantastica Avnetura De Dos Jovenes Pare Jas Occidentales Por Las Carreteras Prohibidas De La Union Sovietica,Dominique Lapierre,9788408073215,2007,Planeta
Simon Y Sophie: La Condena Del Vampiro,Jose Antonio Maeso,9788496710740,2007,Almuzara
El Fin De La Eternidad,Isaac Asimov,9788498003611,2007,La Factoria De Ideas
Mas Alla De Los Sueños,Richard Matheson,9788498003291,2007,La Factoria De Ideas
El Jardin De Infancia,Geoff Ryman,9788496938007,2007,Omicron (Roca)
Una Vuelta Al Mundo: Un Viaje De Descubrimientos Y Rebeldia,Klaus Mann,9788483077467,2007,Peninsula
Maleides Muntanyes,Enric Soler I Raspall,9788496905085,2008,Brau Edicions
Deus Irae,Philip K. Dick,9788493674168,2008,Icaro Ediciones
Los Cantos De Hyperion,Dan Simmons,9788466638821,2008,S.A. Ediciones B
Poderes,Ursula K. Le Guin,9788445077207,2009,Minotauro
Bajo Las Cielos De Asia,Iñaki Ochoa de Olza Seguin,9788489103542,2008,Dn
El Extranjero,Jesus Ascaso Jimenez,9788495508461,2008,Combra
El Alien (Serie Roberts & Bran 2),Ken Bruen,9788496952256,2008,Pamies
La Ley De Las Sombras,Juan Silva Fernandez,9788493648800,2008,Mundos Epicos
Tres Hombres En Una Barca (Por No Mencionar Al Perro),Jerome K. Jerome,9788493674137,2008,Icaro Ediciones
A Traves Del Tiempo Real,Vernor Vinge,9788493674151,2008,Icaro Ediciones
Señales De Humo (Diario Abierto),Jose Manuel Benitez Ariza,9788496583696,2008,Dip. De Cadiz
Impresions De Voyage -De Paris A Cadix- Vol. I (Facsimil),Alexandre Dumas,9788496784543,2007,S.L. Extramuros Edicion
!Puafque Asco!: Una Vision Ilusionada Del Mundo,Luis Lorente,9788496797000,2007,Foca
Naufragios: Costa Nw (1900/2002),Lino J. Pazos,9788460784715,2003,Autor-Editor
Hacia El Paisaje Del Mezcal: Viajeros Norteamericanos En Mexico Siglos Xix Y Xx,Adela Pineda Franco,9789687870694,2008,Aldus
Hijos Del Dragon Iv: Reinos Del Fenix,Lucia Gonzalez Lavado,9788498026948,2008,Entrelineas Editores
Amazon,Bruce Parry,9780718154349,2008,Michael Joseph (Penguin)
Sea Of Lost Love,Santa Montefiore,9780340840474,2007,Hodder & Stoughton
Iran. Por Las Tierras Miticas De Persia,R. Benito Vidal,9788496196858,2007,Abraxas
The Armageddon Rag,George R.r. Martin,9780553383072,2007,Bantam Books
Eisenhorn,Dan Abnett,9788448044008,2005,Timun Mas
La Ciudad Del Esplendor,Elaine Cunningham,9788448037819,2007,Timun Mas
Patria Thorbod (La Nueva Generacion 18),Santyago Moro,9788496862012,2007,Silente
Luna Llena,Jim Butcher,9788498003420,2007,La Factoria De Ideas
La Venganza,Nefer Williams,9788496662063,2006,Parnaso
The Congo And The Cameroons,Mary Kingsley,9780141025513,2007,Penguin
No Me Mates,Chiara Palazzolo,9788445076910,2008,Minotauro
Asi Se Hizo Idus De Marzo: Primera Expedicion Española A La Antar Tida,Fernando L. Rodriguez Jimenez,9788496899148,2008,Sekotia
Piracy Turtles And Flying Foxes,William Cecil Dampier,9780141025414,2007,Penguin
Tot Passejant Pel Vell Continent: Les Meves Avingudes Europees,Santiago Riera,9788489751286,2008,L Albi
El Quinto Elefante (Una Novela Mundodisco),Terry Pratchett,9788401336843,2008,Plaza & Janes Editores
Tengo Un Manny En Casa,Holly Peterson,9788466631747,2007,S.A. Ediciones B
La Medida Y La Verdad,Douglas Niles,9788448044084,2009,Timun Mas
The World According To Clarkson,Jeremy Clarkson,9780141017891,2005,Penguin
Los Homoplatos Rotos De Tanto Viajar Por Japon,Ignacio Rubio Alfaro,9788496716551,2007,Emboscall
La Isla De Trampa,Asuncion Martin-Machuca Ales,9788461188611,2007,Autor-Editor
Viajes Por Mi Tierra,Almeida Garrett,9788483670293,2007,Krk Ediciones
Bellver: Crimen De Los Dioses,Joana Pol,9788493552459,2007,Mallorca Fantastica Editores
El Circulo De Energia,Elania Trebor,9788496621541,2007,Atlantis
Tiempo De Cambios,Robert Silverberg,9788498003680,2008,La Factoria De Ideas
Estuche Trilogia Terrarca (Contiene: La Torre De Las Serpientes; El Asesino De La Reina; Los Angeles De La Muerte),William King,9788448036188,0,Timun Mas
El Circulo,Peter Lovesey,9788498003499,2007,La Factoria De Ideas
Las Damas De Grace Adieu,Susanna Clarke,9788498381283,2007,S.A.) Salamandra (Publicaciones Y Ediciones Salamandra
Transformandose,Ramon Muñoz,9788493560331,2007,Mandragora
La Huida De Eisenstein,James Swallow,9788448044039,2008,Timun Mas
Sangre Corrupta,Nathan Long,9788448036171,2007,Timun Mas
El Corazon Manda,Manuel Mateo Perez,9788489225039,2007,Andalucia. Consejeria De Turismo Y Deporte
El Rio Oscuro,John Twelve Hawks,9788401336805,2008,Plaza & Janes Editores
El Viaje Literario Y La Cueva: Imagenes De La Memoria,Santiago J. Hernandez Jimenez,9788481035094,2007,Cabildo Insular De Gran Canaria. Departamento De Ediciones
Edicion Especial De El Hobbit 70 Aniversario,J.r.r. Tolkien,9788445076736,1901,Minotauro
An Utterly Impartal History Of Britain,John O Farrell,9780552773966,2008,Corgi Books Ltd.
La Herejia De Horus: La Gran Guia Ilustrada,Alan Merret,9788448049072,2008,Timun Mas
Mares De Sangre Bajo Cielos Rojos: Libro Segundo De Las Cronicas De Los Caballeros Bastardos,Scott Lynch,9788420682471,2007,Alianza Editorial
Taliesin. Ciclo De Pendragon I.,Stephen R. Lawhead,9788448036270,1993,Timun Mas
De Montserrat A Los Mares Del Sur,Emma Mora,9788474861792,2008,Noray
La Tienda De Los Suicidas,Jean Teule,9788402420541,2008,Bruguera
Criptonomicon,Neal Stephenson,9788466636599,2007,S.A. Ediciones B
La Aduana Del Cielo,Manuel Leon Mejias,9788496790353,2007,Jirones De Azul
Naturaleza Virgen,Robert Macfarlane,9788484283812,2008,Alba Editorial
Una Cancion Para Lya,George R.r. Martin,9788421743102,0,Noguer Y Caralt
Coopers Creek,Alan Moorehead,9780140092400,1988,Penguin
Bajo Tierra,Sebastian Coh Vargtimmen,9788496968790,2008,Almuzara
Eifelheim,Michael Flynn,9788466636629,2008,S.A. Ediciones B
Pasajera Del Silencio,Fabienne Verdier,9788498381269,2007,S.A.) Salamandra (Publicaciones Y Ediciones Salamandra
Conan Y El Camino De Los Reyes,Karl Edward Wagner,9788448036218,2008,Timun Mas
Portugal,Miguel Torga,9789722033701,2008,Dom Quixote Publicacoes
Future Sight: Time Spiral Cycle Book 3 (Time Spiral Cycle),John J. Delaney,9780786942695,2007,Uk Wizards Of The Coast
